tweet_id,set
1399350603969613833,covid
1399310042717958149,covid
1399095371398324226,covid
1399049239607578625,covid
1399048780729622528,covid
1399040552138575877,covid
1399008134123986949,covid
1398993477120131072,covid
1398992787023015940,covid
1398985815557083142,covid
1398971548715921410,covid
1398967616199401478,covid
1398941605885890561,covid
1398914717020737537,covid
1398881305820119041,covid
1398880261769777152,covid
1398710846331686913,covid
1398702057331245058,covid
1398700923464060930,covid
1398683191213531141,covid
1398678447333982209,covid
1398678317235163138,covid
1398678242152824844,covid
1398678148196323328,covid
1398632853915717637,covid
1398608479011672068,covid
1398607712401960964,covid
1398593470214856705,covid
1398584911708278789,covid
1398561294203211778,covid
1398559651239710731,covid
1398559599716880385,covid
1398559145767362562,covid
1398558630014771200,covid
1398557024137404418,covid
1398554267582189569,covid
1398450722342064132,covid
1398352256248975369,covid
1398257629038792704,covid
1398244054693974016,covid
1398232341546516480,covid
1398229419983052803,covid
1398213143696973827,covid
1398206182075113475,covid
1398160818680782850,covid
1398117842181054466,covid
1398111015687147522,covid
1397989732160790529,covid
1397988742368006146,covid
1397932113425584133,covid
1397924776711057412,covid
1397919062512979970,covid
1397913849043427336,covid
1397912024827367430,covid
1397887452833067014,covid
1397886917228761092,covid
1397880047965515779,covid
1397868771373637642,covid
1397862796411428869,covid
1397859433867325444,covid
1397839012107272193,covid
1397823990937366529,covid
1397775407110361091,covid
1397712810772209665,covid
1397698618899972096,covid
1397696158567370754,covid
1397658864225562625,covid
1397605193425080321,covid
1397595010271436806,covid
1397591310928855049,covid
1397581394797375493,covid
1397579290728861699,covid
1397574929973907462,covid
1397530520263831552,covid
1397525968185659393,covid
1397524565669068801,covid
1397513974153981953,covid
1397512847714922496,covid
1397506969502720006,covid
1397504910371983367,covid
1397453905903108097,covid
1397447606817759233,covid
1397431399955763202,covid
1397425803609133060,covid
1397411652388233220,covid
1397411114644803586,covid
1397402168668430337,covid
1397398700356509696,covid
1397396818674266116,covid
1397395665647505408,covid
1397362036653363200,covid
1397306573588938755,covid
1397291049748504577,covid
1397263939474440204,covid
1397201014734917635,covid
1397189557955727369,covid
1397184934008209414,covid
1397184089996812289,covid
1397183629307043847,covid
1397169723926847489,covid
1397164672143527943,covid
1397145345965137920,covid
1397133814430932993,covid
1397104150920507399,covid
1397099031969554432,covid
1397090023665700864,covid
1397040237201793024,covid
1397038480870490114,covid
1397037122796675073,covid
1396932674087014400,covid
1396932281512697863,covid
1396908255113252866,covid
1396863661310947330,covid
1396601537925890049,covid
1396514761408450570,covid
1396510775813066755,covid
1396382755487985664,covid
1396373296938110986,covid
1396162587612663808,covid
1396159225676640263,covid
1396150320837931010,covid
1396135879077470208,covid
1396126526400339969,covid
1396094343828721664,covid
1396074468167069697,covid
1396073600927547392,covid
1396072830236872707,covid
1396070710229995525,covid
1396062211156631558,covid
1396056208977670146,covid
1396043903334297604,covid
1396015340870590464,covid
1395998892240551941,covid
1395998416640086017,covid
1395856712976982017,covid
1395831034273480710,covid
1395804388552286208,covid
1395804340896534530,covid
1395758335257980929,covid
1395757297805271047,covid
